Average download speed (Mbit/s),Postcode,ShortPC,Town,County
0.5,BR6 7PJ,BR6 7,ORPINGTON,KENT
0.5,BR6 7PL,BR6 7,ORPINGTON,KENT
7.8,BR6 7PP,BR6 7,ORPINGTON,KENT
13.1,BR6 7PR,BR6 7,ORPINGTON,KENT
0.6,BR6 7QJ,BR6 7,ORPINGTON,KENT
25.7,BR6 7SJ,BR6 7,ORPINGTON,KENT
62.1,BR8 7AB,BR8 7,SWANLEY,KENT
59.4,BR8 7AG,BR8 7,SWANLEY,KENT
50.3,BR8 7AQ,BR8 7,SWANLEY,KENT
67.9,BR8 7AR,BR8 7,SWANLEY,KENT
74.6,BR8 7AS,BR8 7,SWANLEY,KENT
50.6,BR8 7AT,BR8 7,SWANLEY,KENT
39.3,BR8 7AU,BR8 7,SWANLEY,KENT
85,BR8 7AW,BR8 7,SWANLEY,KENT
54.5,BR8 7AX,BR8 7,SWANLEY,KENT
90.1,BR8 7AZ,BR8 7,SWANLEY,KENT
53.3,BR8 7BA,BR8 7,SWANLEY,KENT
38,BR8 7BB,BR8 7,SWANLEY,KENT
54.4,BR8 7BD,BR8 7,SWANLEY,KENT
79.4,BR8 7BG,BR8 7,SWANLEY,KENT
41.6,BR8 7BL,BR8 7,SWANLEY,KENT
43.6,BR8 7BP,BR8 7,SWANLEY,KENT
90.6,BR8 7BQ,BR8 7,SWANLEY,KENT
47,BR8 7BS,BR8 7,SWANLEY,KENT
54.6,BR8 7BU,BR8 7,SWANLEY,KENT
78.2,BR8 7BW,BR8 7,SWANLEY,KENT
76.1,BR8 7BX,BR8 7,SWANLEY,KENT
71.3,BR8 7BY,BR8 7,SWANLEY,KENT
68.7,BR8 7DA,BR8 7,SWANLEY,KENT
71.6,BR8 7DD,BR8 7,SWANLEY,KENT
79.2,BR8 7DE,BR8 7,SWANLEY,KENT
72.7,BR8 7DF,BR8 7,SWANLEY,KENT
59.6,BR8 7DH,BR8 7,SWANLEY,KENT
94.9,BR8 7DJ,BR8 7,SWANLEY,KENT
62.4,BR8 7DL,BR8 7,SWANLEY,KENT
58.1,BR8 7DP,BR8 7,SWANLEY,KENT
36.7,BR8 7DQ,BR8 7,SWANLEY,KENT
55.7,BR8 7DR,BR8 7,SWANLEY,KENT
52.8,BR8 7DS,BR8 7,SWANLEY,KENT
77.6,BR8 7DU,BR8 7,SWANLEY,KENT
66.7,BR8 7DW,BR8 7,SWANLEY,KENT
72,BR8 7DX,BR8 7,SWANLEY,KENT
56.5,BR8 7DY,BR8 7,SWANLEY,KENT
53,BR8 7EA,BR8 7,SWANLEY,KENT
54.5,BR8 7EE,BR8 7,SWANLEY,KENT
127.8,BR8 7EF,BR8 7,SWANLEY,KENT
43.3,BR8 7EG,BR8 7,SWANLEY,KENT
67,BR8 7EH,BR8 7,SWANLEY,KENT
68.2,BR8 7EJ,BR8 7,SWANLEY,KENT
66.9,BR8 7EL,BR8 7,SWANLEY,KENT
65.6,BR8 7EP,BR8 7,SWANLEY,KENT
28.2,BR8 7EQ,BR8 7,SWANLEY,KENT
77,BR8 7ER,BR8 7,SWANLEY,KENT
55.8,BR8 7ES,BR8 7,SWANLEY,KENT
64.9,BR8 7ET,BR8 7,SWANLEY,KENT
72.4,BR8 7EX,BR8 7,SWANLEY,KENT
50.1,BR8 7EY,BR8 7,SWANLEY,KENT
79.9,BR8 7EZ,BR8 7,SWANLEY,KENT
54,BR8 7FA,BR8 7,SWANLEY,KENT
62.9,BR8 7FB,BR8 7,SWANLEY,KENT
39.7,BR8 7FF,BR8 7,SWANLEY,KENT
30,BR8 7FH,BR8 7,SWANLEY,KENT
31.6,BR8 7FJ,BR8 7,SWANLEY,KENT
55.3,BR8 7FN,BR8 7,SWANLEY,KENT
53.8,BR8 7HA,BR8 7,SWANLEY,KENT
78.2,BR8 7HE,BR8 7,SWANLEY,KENT
65.5,BR8 7HF,BR8 7,SWANLEY,KENT
54.6,BR8 7HG,BR8 7,SWANLEY,KENT
53.4,BR8 7HH,BR8 7,SWANLEY,KENT
48.8,BR8 7HJ,BR8 7,SWANLEY,KENT
60.7,BR8 7HL,BR8 7,SWANLEY,KENT
81.3,BR8 7HN,BR8 7,SWANLEY,KENT
63.1,BR8 7HP,BR8 7,SWANLEY,KENT
62.3,BR8 7HQ,BR8 7,SWANLEY,KENT
58.1,BR8 7HR,BR8 7,SWANLEY,KENT
68.1,BR8 7HS,BR8 7,SWANLEY,KENT
59.1,BR8 7HT,BR8 7,SWANLEY,KENT
62.1,BR8 7HU,BR8 7,SWANLEY,KENT
81.1,BR8 7HY,BR8 7,SWANLEY,KENT
83.1,BR8 7HZ,BR8 7,SWANLEY,KENT
62.4,BR8 7JA,BR8 7,SWANLEY,KENT
57.4,BR8 7JB,BR8 7,SWANLEY,KENT
60.8,BR8 7JE,BR8 7,SWANLEY,KENT
61.8,BR8 7JF,BR8 7,SWANLEY,KENT
56.7,BR8 7JG,BR8 7,SWANLEY,KENT
65.9,BR8 7JH,BR8 7,SWANLEY,KENT
46,BR8 7JJ,BR8 7,SWANLEY,KENT
69,BR8 7JL,BR8 7,SWANLEY,KENT
79.2,BR8 7JN,BR8 7,SWANLEY,KENT
66.2,BR8 7JP,BR8 7,SWANLEY,KENT
69.3,BR8 7JQ,BR8 7,SWANLEY,KENT
71.9,BR8 7JT,BR8 7,SWANLEY,KENT
43.4,BR8 7JU,BR8 7,SWANLEY,KENT
70.6,BR8 7JW,BR8 7,SWANLEY,KENT
34.2,BR8 7JX,BR8 7,SWANLEY,KENT
49.7,BR8 7JY,BR8 7,SWANLEY,KENT
86.7,BR8 7JZ,BR8 7,SWANLEY,KENT
34,BR8 7LB,BR8 7,SWANLEY,KENT
82.6,BR8 7LD,BR8 7,SWANLEY,KENT
67.7,BR8 7LE,BR8 7,SWANLEY,KENT
63.3,BR8 7LF,BR8 7,SWANLEY,KENT
61.4,BR8 7LG,BR8 7,SWANLEY,KENT
59.2,BR8 7LH,BR8 7,SWANLEY,KENT
47.7,BR8 7LJ,BR8 7,SWANLEY,KENT
56.8,BR8 7LL,BR8 7,SWANLEY,KENT
40.4,BR8 7LN,BR8 7,SWANLEY,KENT
32.6,BR8 7LP,BR8 7,SWANLEY,KENT
51.1,BR8 7LQ,BR8 7,SWANLEY,KENT
45,BR8 7LR,BR8 7,SWANLEY,KENT
67.5,BR8 7LS,BR8 7,SWANLEY,KENT
41.4,BR8 7LT,BR8 7,SWANLEY,KENT
27.3,BR8 7LW,BR8 7,SWANLEY,KENT
61.4,BR8 7LY,BR8 7,SWANLEY,KENT
42.8,BR8 7LZ,BR8 7,SWANLEY,KENT
37.8,BR8 7NA,BR8 7,SWANLEY,KENT
28.9,BR8 7NB,BR8 7,SWANLEY,KENT
50.5,BR8 7NF,BR8 7,SWANLEY,KENT
39.6,BR8 7NG,BR8 7,SWANLEY,KENT
17.6,BR8 7PA,BR8 7,SWANLEY,KENT
15.2,BR8 7PB,BR8 7,SWANLEY,KENT
15,BR8 7PD,BR8 7,SWANLEY,KENT
42.9,BR8 7PJ,BR8 7,SWANLEY,KENT
55.9,BR8 7PL,BR8 7,SWANLEY,KENT
67.3,BR8 7PN,BR8 7,SWANLEY,KENT
35.6,BR8 7PP,BR8 7,SWANLEY,KENT
6.8,BR8 7PQ,BR8 7,SWANLEY,KENT
10.4,BR8 7PW,BR8 7,SWANLEY,KENT
66,BR8 7PZ,BR8 7,SWANLEY,KENT
69.5,BR8 7QS,BR8 7,SWANLEY,KENT
59.1,BR8 7QT,BR8 7,SWANLEY,KENT
61.1,BR8 7QU,BR8 7,SWANLEY,KENT
35.6,BR8 7QX,BR8 7,SWANLEY,KENT
40.6,BR8 7QY,BR8 7,SWANLEY,KENT
60,BR8 7QZ,BR8 7,SWANLEY,KENT
67.4,BR8 7RA,BR8 7,SWANLEY,KENT
39.4,BR8 7RB,BR8 7,SWANLEY,KENT
60.6,BR8 7RD,BR8 7,SWANLEY,KENT
53.3,BR8 7RE,BR8 7,SWANLEY,KENT
80.3,BR8 7RF,BR8 7,SWANLEY,KENT
70.4,BR8 7RG,BR8 7,SWANLEY,KENT
66.7,BR8 7RH,BR8 7,SWANLEY,KENT
68.3,BR8 7RJ,BR8 7,SWANLEY,KENT
54.2,BR8 7RL,BR8 7,SWANLEY,KENT
19.3,BR8 7RQ,BR8 7,SWANLEY,KENT
63.1,BR8 7RR,BR8 7,SWANLEY,KENT
82.9,BR8 7RT,BR8 7,SWANLEY,KENT
39.2,BR8 7RU,BR8 7,SWANLEY,KENT
37.2,BR8 7RW,BR8 7,SWANLEY,KENT
55.8,BR8 7RX,BR8 7,SWANLEY,KENT
75.7,BR8 7RY,BR8 7,SWANLEY,KENT
61.5,BR8 7RZ,BR8 7,SWANLEY,KENT
93.4,BR8 7SA,BR8 7,SWANLEY,KENT
65.2,BR8 7SB,BR8 7,SWANLEY,KENT
63.7,BR8 7SD,BR8 7,SWANLEY,KENT
70.6,BR8 7SE,BR8 7,SWANLEY,KENT
58.6,BR8 7SF,BR8 7,SWANLEY,KENT
67.2,BR8 7SG,BR8 7,SWANLEY,KENT
72.6,BR8 7SH,BR8 7,SWANLEY,KENT
54.2,BR8 7SJ,BR8 7,SWANLEY,KENT
64.9,BR8 7SL,BR8 7,SWANLEY,KENT
76.9,BR8 7SN,BR8 7,SWANLEY,KENT
65.8,BR8 7SQ,BR8 7,SWANLEY,KENT
67.5,BR8 7SR,BR8 7,SWANLEY,KENT
63.7,BR8 7SS,BR8 7,SWANLEY,KENT
63.8,BR8 7ST,BR8 7,SWANLEY,KENT
37.9,BR8 7SU,BR8 7,SWANLEY,KENT
61.8,BR8 7SW,BR8 7,SWANLEY,KENT
65.8,BR8 7SX,BR8 7,SWANLEY,KENT
43.4,BR8 7SY,BR8 7,SWANLEY,KENT
54.3,BR8 7TA,BR8 7,SWANLEY,KENT
65.2,BR8 7TB,BR8 7,SWANLEY,KENT
82.5,BR8 7TD,BR8 7,SWANLEY,KENT
38.4,BR8 7TG,BR8 7,SWANLEY,KENT
29.9,BR8 7TH,BR8 7,SWANLEY,KENT
75.1,BR8 7TR,BR8 7,SWANLEY,KENT
75.7,BR8 7TT,BR8 7,SWANLEY,KENT
53.9,BR8 7TU,BR8 7,SWANLEY,KENT
52.3,BR8 7TW,BR8 7,SWANLEY,KENT
60.3,BR8 7TX,BR8 7,SWANLEY,KENT
51.7,BR8 7TY,BR8 7,SWANLEY,KENT
30.9,BR8 7UD,BR8 7,SWANLEY,KENT
57.3,BR8 7UE,BR8 7,SWANLEY,KENT
29.1,BR8 7UF,BR8 7,SWANLEY,KENT
58.4,BR8 7UJ,BR8 7,SWANLEY,KENT
51.1,BR8 7UR,BR8 7,SWANLEY,KENT
68.1,BR8 7US,BR8 7,SWANLEY,KENT
48.5,BR8 7UX,BR8 7,SWANLEY,KENT
56.8,BR8 7WD,BR8 7,SWANLEY,KENT
22.2,BR8 7WE,BR8 7,SWANLEY,KENT
36.1,BR8 7WJ,BR8 7,SWANLEY,KENT
29,BR8 7WP,BR8 7,SWANLEY,KENT
37.8,BR8 7WS,BR8 7,SWANLEY,KENT
63.2,BR8 7WX,BR8 7,SWANLEY,KENT
45.3,BR8 7WY,BR8 7,SWANLEY,KENT
58.9,BR8 7XA,BR8 7,SWANLEY,KENT
61.8,BR8 7XD,BR8 7,SWANLEY,KENT
59.7,BR8 7XE,BR8 7,SWANLEY,KENT
49.9,BR8 7XF,BR8 7,SWANLEY,KENT
33.9,BR8 7XL,BR8 7,SWANLEY,KENT
68.7,BR8 7XN,BR8 7,SWANLEY,KENT
33.6,BR8 7XP,BR8 7,SWANLEY,KENT
46.8,BR8 7XR,BR8 7,SWANLEY,KENT
49.8,BR8 7XS,BR8 7,SWANLEY,KENT
61.8,BR8 7XT,BR8 7,SWANLEY,KENT
33.7,BR8 7XW,BR8 7,SWANLEY,KENT
41,BR8 7YA,BR8 7,SWANLEY,KENT
41.2,BR8 7YB,BR8 7,SWANLEY,KENT
