Postcode,LSOA Code,ShortPC,County,Town
BR6 7PJ,E01024421,BR6 7,KENT,ORPINGTON
BR6 7PL,E01024421,BR6 7,KENT,ORPINGTON
BR6 7PN,E01024421,BR6 7,KENT,ORPINGTON
BR6 7PP,E01024421,BR6 7,KENT,ORPINGTON
BR6 7PR,E01024421,BR6 7,KENT,ORPINGTON
BR6 7PT,E01024421,BR6 7,KENT,ORPINGTON
BR6 7PY,E01024421,BR6 7,KENT,ORPINGTON
BR6 7QA,E01024421,BR6 7,KENT,ORPINGTON
BR6 7QD,E01024421,BR6 7,KENT,ORPINGTON
BR6 7QE,E01024421,BR6 7,KENT,ORPINGTON
BR6 7QG,E01024421,BR6 7,KENT,ORPINGTON
BR6 7QJ,E01024421,BR6 7,KENT,ORPINGTON
BR6 7SJ,E01000680,BR6 7,KENT,ORPINGTON
BR8 7AA,E01024477,BR8 7,KENT,SWANLEY
BR8 7AB,E01024477,BR8 7,KENT,SWANLEY
BR8 7AE,E01024477,BR8 7,KENT,SWANLEY
BR8 7AG,E01024480,BR8 7,KENT,SWANLEY
BR8 7AP,E01024482,BR8 7,KENT,SWANLEY
BR8 7AQ,E01024477,BR8 7,KENT,SWANLEY
BR8 7AR,E01024481,BR8 7,KENT,SWANLEY
BR8 7AS,E01024482,BR8 7,KENT,SWANLEY
BR8 7AT,E01024480,BR8 7,KENT,SWANLEY
BR8 7AU,E01024480,BR8 7,KENT,SWANLEY
BR8 7AW,E01024477,BR8 7,KENT,SWANLEY
BR8 7AX,E01024477,BR8 7,KENT,SWANLEY
BR8 7AZ,E01024480,BR8 7,KENT,SWANLEY
BR8 7BA,E01024476,BR8 7,KENT,SWANLEY
BR8 7BB,E01024480,BR8 7,KENT,SWANLEY
BR8 7BD,E01024480,BR8 7,KENT,SWANLEY
BR8 7BG,E01024480,BR8 7,KENT,SWANLEY
BR8 7BL,E01024480,BR8 7,KENT,SWANLEY
BR8 7BP,E01024479,BR8 7,KENT,SWANLEY
BR8 7BQ,E01024480,BR8 7,KENT,SWANLEY
BR8 7BS,E01024480,BR8 7,KENT,SWANLEY
BR8 7BT,E01024480,BR8 7,KENT,SWANLEY
BR8 7BU,E01024476,BR8 7,KENT,SWANLEY
BR8 7BW,E01024480,BR8 7,KENT,SWANLEY
BR8 7BX,E01024476,BR8 7,KENT,SWANLEY
BR8 7BY,E01024476,BR8 7,KENT,SWANLEY
BR8 7DA,E01024477,BR8 7,KENT,SWANLEY
BR8 7DD,E01024477,BR8 7,KENT,SWANLEY
BR8 7DE,E01024476,BR8 7,KENT,SWANLEY
BR8 7DF,E01024477,BR8 7,KENT,SWANLEY
BR8 7DH,E01024478,BR8 7,KENT,SWANLEY
BR8 7DJ,E01024478,BR8 7,KENT,SWANLEY
BR8 7DL,E01024478,BR8 7,KENT,SWANLEY
BR8 7DP,E01024476,BR8 7,KENT,SWANLEY
BR8 7DQ,E01024476,BR8 7,KENT,SWANLEY
BR8 7DR,E01024477,BR8 7,KENT,SWANLEY
BR8 7DS,E01024478,BR8 7,KENT,SWANLEY
BR8 7DU,E01024476,BR8 7,KENT,SWANLEY
BR8 7DW,E01024476,BR8 7,KENT,SWANLEY
BR8 7DX,E01024476,BR8 7,KENT,SWANLEY
BR8 7DY,E01024477,BR8 7,KENT,SWANLEY
BR8 7EA,E01024477,BR8 7,KENT,SWANLEY
BR8 7EE,E01024477,BR8 7,KENT,SWANLEY
BR8 7EF,E01024477,BR8 7,KENT,SWANLEY
BR8 7EG,E01024477,BR8 7,KENT,SWANLEY
BR8 7EH,E01024477,BR8 7,KENT,SWANLEY
BR8 7EJ,E01024477,BR8 7,KENT,SWANLEY
BR8 7EL,E01024476,BR8 7,KENT,SWANLEY
BR8 7EP,E01024478,BR8 7,KENT,SWANLEY
BR8 7EQ,E01024477,BR8 7,KENT,SWANLEY
BR8 7ER,E01024477,BR8 7,KENT,SWANLEY
BR8 7ES,E01024477,BR8 7,KENT,SWANLEY
BR8 7ET,E01024478,BR8 7,KENT,SWANLEY
BR8 7EX,E01024477,BR8 7,KENT,SWANLEY
BR8 7EY,E01024477,BR8 7,KENT,SWANLEY
BR8 7EZ,E01024478,BR8 7,KENT,SWANLEY
BR8 7FA,E01024477,BR8 7,KENT,SWANLEY
BR8 7FB,E01024479,BR8 7,KENT,SWANLEY
BR8 7FF,E01024480,BR8 7,KENT,SWANLEY
BR8 7FH,E01024479,BR8 7,KENT,SWANLEY
BR8 7FJ,E01024480,BR8 7,KENT,SWANLEY
BR8 7FN,E01024477,BR8 7,KENT,SWANLEY
BR8 7FP,E01024445,BR8 7,KENT,SWANLEY
