School Name,Attainment Score,Postcode,Town,ShortPC,County,Year
Wilmington Grammar School for Girls,65.4,DA2 7BB,Dartford,DA2 7,Kent,2018
Trinity School,51.2,TN13 3SL,Sevenoaks,TN13 ,Kent,2018
The Leigh UTC,33,DA1 5TF,Dartford,DA1 5,Kent,2018
The Charles Dickens School,34.3,CT10 2RL,Broadstairs,CT10 ,Kent,2018
Folkestone Academy,34.2,CT19 5FP,Folkestone,CT19 ,Kent,2018
Northfleet School for Girls,43.2,DA11 8AQ,Gravesend,DA11 ,Kent,2018
The Maplesden Noakes School,40.8,ME16 0TJ,Maidstone,ME16 ,Kent,2018
Dartford Grammar School,74.3,DA1 2HW,Dartford,DA1 2,Kent,2018
Thamesview School,35.8,DA12 4LF,Gravesend,DA12 ,Kent,2018
Homewood School and Sixth Form Centre,37.8,TN30 6LT,Tenterden,TN30 ,Kent,2018
Wrotham School,43.6,TN15 7RD,Sevenoaks,TN15 ,Kent,2018
Fulston Manor School,37.8,ME10 4EG,Sittingbourne,ME10 ,Kent,2018
The Canterbury Academy,37.5,CT2 8QA,Canterbury,CT2 8,Kent,2018
The Malling School,36.9,ME19 6DH,West Malling,ME19 ,Kent,2018
The Archbishop's School,37.8,CT2 7AP,Canterbury,CT2 7,Kent,2018
Hugh Christie School,35.8,TN10 4PU,Tonbridge,TN10 ,Kent,2018
Queen Elizabeth's Grammar School,61.5,ME13 7BQ,Faversham,ME13 ,Kent,2018
Dane Court Grammar School,63.5,CT10 2RT,Broadstairs,CT10 ,Kent,2018
Bennett Memorial Diocesan School,54.2,TN4 9SH,Tunbridge Wells,TN4 9,Kent,2018
The Royal Harbour Academy,28,CT12 6RH,Ramsgate,CT12 ,Kent,2018
Ashford School,39.1,TN24 8PB,Ashford,TN24 ,Kent,2018
Benenden School,19,TN17 4AA,Cranbrook,TN17 ,Kent,2018
Dover College,29.8,CT17 9RH,Dover,CT17 ,Kent,2018
Gad's Hill School,47.3,ME3 7PA,Rochester,ME3 7,Kent,2018
Kent College Pembury,17.9,TN2 4AX,Tunbridge Wells,TN2 4,Kent,2018
St Lawrence College,38.2,CT11 7AE,Ramsgate,CT11 ,Kent,2018
Beechwood Sacred Heart School,44,TN2 3QD,Tunbridge Wells,TN2 3,Kent,2018
Sevenoaks School,6.8,TN13 1HU,Sevenoaks,TN13 ,Kent,2018
Radnor House Sevenoaks School,47.4,TN14 6AE,Sevenoaks,TN14 ,Kent,2018
Sutton Valence School,22.4,ME17 3HL,Maidstone,ME17 ,Kent,2018
Tonbridge School,14.1,TN9 1JP,Tonbridge,TN9 1,Kent,2018
Bethany School,28.3,TN17 1LB,Cranbrook,TN17 ,Kent,2018
Cobham Hall,30.5,DA12 3BL,Gravesend,DA12 ,Kent,2018
The King's School Canterbury,10.8,CT1 2ES,Canterbury,CT1 2,Kent,2018
St Edmund's School Canterbury,40.8,CT2 8HU,Canterbury,CT2 8,Kent,2018
Kent College (Canterbury),34.5,CT2 9DT,Canterbury,CT2 9,Kent,2018
Walthamstow Hall,10,TN13 3UL,Sevenoaks,TN13 ,Kent,2018
Sackville School,29.3,TN11 9HN,Tonbridge,TN11 ,Kent,2018
CATS Canterbury,2.8,CT1 3LQ,Canterbury,CT1 3,Kent,2018
Kent College International Study Centre,12,CT2 9DT,Canterbury,CT2 9,Kent,2018
Oneschool Global Uk Maidstone Campus,58.9,ME17 4HT,Maidstone,ME17 ,Kent,2018
Earlscliffe (Sussex Summer Schools Ltd),19,CT20 2NB,Folkestone,CT20 ,Kent,2018
Knole Academy,43,TN13 3LE,Sevenoaks,TN13 ,Kent,2018
The Leigh Academy,42.1,DA1 1QE,Dartford,DA1 1,Kent,2018
Duke of York's Royal Military School,52.5,CT15 5EQ,Dover,CT15 ,Kent,2018
East Kent College,6.5,CT10 1PN,Broadstairs,CT10 ,Kent,2018
Wye School,49.6,TN25 5EJ,Wye,TN25 ,Kent,2018
Tunbridge Wells Girls' Grammar School,73.8,TN4 9UJ,Tunbridge Wells,TN4 9,Kent,2018
Tunbridge Wells Grammar School for Boys,60.9,TN4 9XB,Tunbridge Wells,TN4 9,Kent,2018
Weald of Kent Grammar School,72.5,TN9 2JP,Tonbridge,TN9 2,Kent,2018
Invicta Grammar School,72.2,ME14 5DS,Maidstone,ME14 ,Kent,2018
Highsted Grammar School,62.6,ME10 4PT,Sittingbourne,ME10 ,Kent,2018
Highworth Grammar School,73.1,TN24 8UD,Ashford,TN24 ,Kent,2018
The Harvey Grammar School,62.4,CT19 5JY,Folkestone,CT19 ,Kent,2018
Dover Grammar School for Girls,62.8,CT16 2PZ,Dover,CT16 ,Kent,2018
Maidstone Grammar School,65.5,ME15 7BT,Maidstone,ME15 ,Kent,2018
Maidstone Grammar School for Girls,69.7,ME16 0SF,Maidstone,ME16 ,Kent,2018
Borden Grammar School,55.5,ME10 4DB,Sittingbourne,ME10 ,Kent,2018
The Norton Knatchbull School,63.7,TN24 0QJ,Ashford,TN24 ,Kent,2018
Simon Langton Girls' Grammar School,68.3,CT1 3EW,Canterbury,CT1 3,Kent,2018
The Judd School,76,TN9 2PN,Tonbridge,TN9 2,Kent,2018
Wilmington Grammar School for Boys,66,DA2 7DA,Dartford,DA2 7,Kent,2018
Dartford Grammar School for Girls,75.3,DA1 2NT,Dartford,DA1 2,Kent,2018
Simon Langton Grammar School for Boys,69.6,CT4 7AS,Canterbury,CT4 7,Kent,2018
Cranbrook School,65.6,TN17 3JD,Cranbrook,TN17 ,Kent,2018
The Skinners' School,72.1,TN4 9PG,Tunbridge Wells,TN4 9,Kent,2018
Oakwood Park Grammar School,61.7,ME16 8AH,Maidstone,ME16 ,Kent,2018
Sir Roger Manwood's School,63.3,CT13 9JX,Sandwich,CT13 ,Kent,2018
The Folkestone School for Girls,64,CT20 3RB,Folkestone,CT20 ,Kent,2018
Tonbridge Grammar School,76.3,TN9 2JR,Tonbridge,TN9 2,Kent,2018
Barton Court Grammar School,62.9,CT1 1PH,Canterbury,CT1 1,Kent,2018
Dover Grammar School for Boys,56.4,CT17 0DQ,Dover,CT17 ,Kent,2018
Chatham & Clarendon Grammar School,62.9,CT11 7PS,Ramsgate,CT11 ,Kent,2018
Gravesend Grammar School,67.4,DA12 2PR,Gravesend,DA12 ,Kent,2018
"Mayfield Grammar School, Gravesend",65.8,DA11 0JE,Gravesend,DA11 ,Kent,2018
St Augustine Academy,34.8,ME16 8AE,Maidstone,ME16 ,Kent,2018
The Ebbsfleet Academy,43.8,DA10 0BZ,Swanscombe,DA10 ,Kent,2018
The Sittingbourne School,33.5,ME10 4NL,Sittingbourne,ME10 ,Kent,2018
High Weald Academy,32,TN17 2PJ,Cranbrook,TN17 ,Kent,2018
Meopham School,48.1,DA13 0AH,Gravesend,DA13 ,Kent,2018
Hadlow Rural Community School,35.8,TN11 0AU,Hadlow,TN11 ,Kent,2018
St Edmund's Catholic School,33.1,CT16 2QB,Dover,CT16 ,Kent,2018
The Lenham School,40.3,ME17 2LL,Maidstone,ME17 ,Kent,2018
Goodwin Academy,33.9,CT14 9BD,Deal,CT14 ,Kent,2018
Dartford Science & Technology College,41.1,DA1 2LY,Dartford,DA1 2,Kent,2018
Orchards Academy,39.7,BR8 7TE,Swanley,BR8 7,Kent,2018
The Holmesdale School,39.2,ME6 5HS,Snodland,ME6 5,Kent,2018
The Whitstable School,39.7,CT5 1PX,Whitstable,CT5 1,Kent,2018
Astor College (A Specialist College for the Arts),33.3,CT17 0AS,Dover,CT17 ,Kent,2018
King Ethelbert School,39.3,CT7 9BL,Birchington,CT7 9,Kent,2018
Hartsdown Academy,20.5,CT9 5RE,Margate,CT9 5,Kent,2018
Towers School and Sixth Form Centre,36.3,TN24 9AL,Ashford,TN24 ,Kent,2018
The Abbey School,37.3,ME13 8RZ,Faversham,ME13 ,Kent,2018
The North School,35.2,TN24 8AL,Ashford,TN24 ,Kent,2018
Valley Park School,45.1,ME14 5DT,Maidstone,ME14 ,Kent,2018
Ursuline College,41.3,CT8 8LX,Westgate-on-Sea,CT8 8,Kent,2018
Saint George's Church of England School,43.9,DA11 7LS,Gravesend,DA11 ,Kent,2018
Aylesford School,37.3,ME20 7JU,Aylesford,ME20 ,Kent,2018
St Simon Stock Catholic School,50.9,ME16 0JP,Maidstone,ME16 ,Kent,2018
Westlands School,42.4,ME10 1PF,Sittingbourne,ME10 ,Kent,2018
St Gregory's Catholic School,47.5,TN4 9XL,Tunbridge Wells,TN4 9,Kent,2018
Mascalls Academy,45.5,TN12 6LT,Tonbridge,TN12 ,Kent,2018
"St Anselm's Catholic School, Canterbury",42.9,CT1 3EN,Canterbury,CT1 3,Kent,2018
St George's Church of England Foundation School,39,CT10 2LH,Broadstairs,CT10 ,Kent,2018
Herne Bay High School,39.2,CT6 7NS,Herne Bay,CT6 7,Kent,2018
Hillview School for Girls,47.1,TN9 2HE,Tonbridge,TN9 2,Kent,2018
The Hayesbrook School,37.1,TN9 2PH,Tonbridge,TN9 2,Kent,2018
Northfleet Technology College,37.2,DA11 8BG,Gravesend,DA11 ,Kent,2018
St John's Catholic Comprehensive,42.5,DA12 2JW,Gravesend,DA12 ,Kent,2018
Sandwich Technology School,39.6,CT13 0FA,Sandwich,CT13 ,Kent,2018
Brockhill Park Performing Arts College,39,CT21 4HL,Hythe,CT21 ,Kent,2018
The Marsh Academy,35.5,TN28 8BB,New Romney,TN28 ,Kent,2018
Spires Academy,33.9,CT2 0HD,Canterbury,CT2 0,Kent,2018
New Line Learning Academy,33.5,ME15 9QL,Maidstone,ME15 ,Kent,2018
Cornwallis Academy,43.8,ME17 4HX,Maidstone,ME17 ,Kent,2018
Longfield Academy,40.1,DA3 7PH,Longfield,DA3 7,Kent,2018
Oasis Academy Isle of Sheppey,32.7,ME12 3JQ,Minster-on-Sea,ME12 ,Kent,2018
Skinners' Kent Academy,44.3,TN2 4PY,Tunbridge Wells,TN2 4,Kent,2018
Dover Christ Church Academy,30.9,CT16 2EG,Dover,CT16 ,Kent,2018
